Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic
Niskanen Center: Project on State Capacity,Research,Think Tank,"Federal,State,City","Dedicated state capacity research initiative. Published 'The How We Need Now' capacity agenda. Policy research on civil service reform, digital modernization, product operating model, implementation-focused legislation.",Philanthropy,"Coefficient Giving (fmr. Open Philanthropy), broad donor base",niskanencenter.org/policy/state-capacity,"Talent & Hiring,Procurement & Operations,Test & Learn","Hiring Architecture,Regulatory & Administrative Burden,Procurement Reform,Iterative Learning"
Pew Charitable Trusts: Government Performance,Research,,"Federal,State","Nonpartisan research organization whose state government work produces empirical research on state fiscal health, budgeting, and government performance. Its Fiscal 50 platform tracks revenue, spending, and reserves in all 50 states.",Philanthropy,$7B+ endowment; earned revenue from research contracts,pew.org/en/topics/strengthen-state-government,"Test & Learn,Domains,Participatory Democracy","Outcomes Measurement,Tax & Revenue,Transparency & Accountability"
Progressive Policy Institute (PPI),Research,Think Tank,"Federal,State,City","Center-left think tank in the New Democrat tradition with a technology and innovation program. Research covers government digital transformation, broadband, AI policy, and building state capacity through technology.",Philanthropy,Foundation grants + individual donors,progressivepolicy.org,"Talent & Hiring,Service Delivery","Workforce Development,Benefits Access"
R Street Institute,Research,Think Tank,"Federal,State,City","Free-market think tank producing research on limited, effective government, regulatory reform, and tech policy.",Philanthropy,Broad philanthropic base,rstreet.org,"Procurement & Operations,Domains,Technology & Data,Participatory Democracy","Regulatory & Administrative Burden,Criminal Justice,Data Security,Democracy Infrastructure,Permitting & Licensing"
RAND Corporation,Research,Digital Services & Consulting,"Federal,State,City","Nonpartisan research institute that also consults directly for government. Its Center on AI, Security & Technology researches AI policy, including scaling AI in state and local government; founding partner of PIT-UN.","Philanthropy,Government","Coefficient Giving (fmr. Open Philanthropy), government contracts, endowment, broad donor base",rand.org,"Domains,Test & Learn","AI in Government,Scaling What Works"
RegLab (Stanford),Research,"Digital Services & Consulting,University","Federal,State,City","Stanford lab partnering with agencies such as IRS, EPA, DOL, and Santa Clara County to design and evaluate AI and data science for core governance functions. Known for its IRS audit disparity analysis; also runs talent pipeline programs into the public sector.","Philanthropy, Government Contracts","Stanford Impact Labs (3.5M, 4-year); government agency partnerships",reglab.stanford.edu,"Domains,Procurement & Operations","AI in Government,Regulatory & Administrative Burden,Tax & Revenue"
Responsible AI Institute (RAI Institute),Research,Think Tank,"Federal,State,City","Independent nonprofit providing AI certification, conformity assessments, and responsible AI tools for government agencies. Develops standards and frameworks for trustworthy AI procurement and deployment.",Philanthropy,Philanthropic grants + certification revenue,responsible.ai,"Domains,Procurement & Operations","AI in Government,Procurement Reform"
Roosevelt Institute,Research,Think Tank,"Federal,State,City","Left-of-center think tank focused on economic policy and government capacity research. Primary output is policy research on public investment, industrial policy, and government effectiveness. Student network is a separate affiliated entity.",Philanthropy,Foundation grants,rooseveltinstitute.org,"Test & Learn,Domains","Outcomes Measurement,Economic Mobility"
Searchlight Institute,Research,Think Tank,"Federal,State,City","A Democratic-aligned policy think tank focused on reshaping the party's strategy toward broader, more electorally viable positions.",Philanthropy,Philanthropic grants,searchlightinstitute.org,Participatory Democracy,Democracy Infrastructure
Stanford Digital Economy Lab,Research,University,"Federal,State,City","Research on technology's impact on economy, work, and institutions (Erik Brynjolfsson). Quantitative research on AI economics and labor markets.","University,Philanthropy",Stanford endowment + donor support,digitaleconomy.stanford.edu,Talent & Hiring,Workforce Development
Stanford HAI (Human-Centered AI Institute),Research,"Advocacy,University","Federal,State,City","Stanford institute studying AI's social, ethical, and governance implications; publishes the annual AI Index. Runs AI policy fellowships that place researchers with government and engages Congress and OMB on federal AI policy.","Philanthropy, University",Stanford University; HAI industry partners; foundation grants,hai.stanford.edu,"Domains,Talent & Hiring","AI in Government,Expert Contribution,Talent Pipeline"
The GovLab (NYU Tandon + Burnes Center at Northeastern),Research,University,"Federal,State,City","Research lab studying how technology and data improve governance. Open data, data collaboratives, collective intelligence, and citizen engagement.","University,Philanthropy","NYU, MacArthur Foundation, Knight Foundation",thegovlab.org,"Participatory Democracy,Technology & Data,Test & Learn","Transparency & Accountability,Civic Engagement,Data Integration,Outcomes Measurement"
Urban Institute,Research,,"Federal,State,City","Nonpartisan social and economic policy research organization. Research covers government finance, safety net delivery, benefits modernization, and evidence-based implementation, with data tools for policymakers.","Philanthropy,Government",Foundation grants + government research contracts + endowment,urban.org,"Service Delivery,Test & Learn,Domains,Talent & Hiring","Benefits Access,Outcomes Measurement,Housing & Land Use,Workforce Development,Evidence Use"
Volcker Alliance,Research,Think Tank,"Federal,State,City","Research and ratings on government effectiveness, public finance, and government workforce. Government-to-University Initiative for MPA/MPP pipeline.",Philanthropy,Volcker Foundation + donors,volckeralliance.org,"Talent & Hiring,Domains,Test & Learn,Participatory Democracy","Hiring Architecture,Tax & Revenue,Talent Pipeline,Outcomes Measurement,Transparency & Accountability"
Yale Tobin Center for Economic Policy,Research,"Think Tank,University","Federal,State,City",Domestic policy center providing direct technical assistance to governments and multi-university research partnerships on evidence-based policy.,University,Yale endowment + donor support,tobin.yale.edu,"Test & Learn,Domains,Service Delivery","Outcomes Measurement,Evidence Use,Healthcare Access,Education Delivery,Benefits Access"
We the Doers,Advocacy,Research,Federal,"A nonpartisan organization of former senior federal career civil servants producing practical reform recommendations for agency leaders, the executive branch, and Congress. Founded December 2025. Focused on removing structural barriers to effective service delivery.",VC-backed; Seed stage,No public funding disclosure as of June 2026.,wethedoers.org,"Procurement & Operations,Test & Learn","Regulatory & Administrative Burden,Operational Excellence,Scaling What Works"
ClearGov,GovTech,,"State,City","Cloud budget cycle management software for local governments and school districts. Platform covers capital, personnel, and operating budgets with collaboration workflows, digital budget books, and financial reporting. Serves 2,000+ customers managing over $540 billion in budgets.",VC-backed; Growth stage,$34.5M total raised; Series B (2024) led by Frontier Growth; prior investors include Kepha Partners and MassVentures,cleargov.com,"Procurement & Operations,Technology & Data","Operational Excellence,Data Integration"
DebtBook,GovTech,,"State,City","Treasury management platform purpose-built for government and nonprofit finance teams. Automates GASB 87/96 compliance, ACFR note generation, debt tracking, and cash positioning in a single system. Used by 40% of the 250 largest U.S. municipalities and counties; 2,100+ customers nationwide.",Private,Privately held; no publicly disclosed external funding; legal entity is Fifth Asset Inc.,debtbook.com,"Procurement & Operations,Technology & Data","Operational Excellence,Legacy Systems,Data Integration"
BondLink,GovTech,,"State,City","Investor relations and debt management platform for municipal bond issuers, helping state and local governments communicate with investors, manage disclosure compliance, and execute bond sales. Clients include the State of California, City of Chicago, and University of Texas.",VC-backed; Growth stage,$34.1M total raised across 4 rounds; Series B (2021); investors include Intercontinental Exchange and Franklin Templeton,bondlink.com,"Procurement & Operations,Participatory Democracy","Operational Excellence,Transparency & Accountability"
Hazel,GovTech,,"Federal,State,City","AI procurement software for government that automates solicitation drafting, vendor matching, compliance checks, and proposal evaluation, with procurement officers retaining final decisions. Customers range from school districts to the U.S. Navy; YC W2024.",VC-backed; Seed stage,Y Combinator (W2024); seed stage; total undisclosed,hazelai.com,Procurement & Operations,"Procurement Reform,Operational Excellence"
Cardinality.ai,GovTech,,"Federal,State,City","Pre-built, low-code AI platform for health and human services agencies covering child welfare, child support, SNAP, TANF, Medicaid, and workforce programs. Serves 11 agencies in 5 states, reaching 23M+ constituents.",VC-backed; Growth stage,$26M raised across multiple rounds; Series B (April 2023) led by Boathouse Capital; prior investors include Attain Capital and BarronKent,cardinality.ai,"Domains,Service Delivery,Technology & Data,Procurement & Operations","Child Welfare,Healthcare Access,Economic Mobility,Benefits Access,Service Design,Legacy Systems,Operational Excellence"
Govstream.ai,GovTech,,City,"AI copilot for permit technicians, planners, and reviewers that sits on top of existing permitting systems to answer staff questions, validate documents, and pre-check applications against municipal codes. Live in Bellevue WA (30% fewer routine inquiries) and Louisville KY.",VC-backed; Seed stage,$4.9M total; $3.6M Seed (Dec 2025) led by 47th Street Partners; pre-seed from Nellore Capital and Ascend,govstream.ai,"Procurement & Operations,Domains","Operational Excellence,Permitting & Licensing,Housing & Land Use,Reaction Time"
Just Appraised,GovTech,,"State,City","AI workflow software for county assessors and clerks, automating deed processing, ownership transfers, exemptions, and taxpayer communication. Serves 300+ counties in 30 states; YC-backed.",VC-backed; Seed stage,Y Combinator-backed; seed stage; total undisclosed,justappraised.com,"Procurement & Operations,Technology & Data,Domains","Operational Excellence,Tax & Revenue,Legacy Systems"
Forerunner,GovTech,,"Federal,State,City","AI geospatial platform for government built-environment operations, unifying floodplain compliance, code enforcement, permitting, asset tracking, and grant management with mobile field tools. Used by 190+ communities in 26 states, including CA Department of Water Resources and FL Division of Emergency Management.",VC-backed; Growth stage,$39M total; $26.3M Series B (Feb 2026) led by Wellington Management; prior investors include Gutter Capital,withforerunner.com,"Procurement & Operations,Technology & Data,Domains","Permitting & Licensing,Physical Infrastructure,Crisis Response,Housing & Land Use,Data Integration,Operational Excellence"
Deckard Technologies,GovTech,,"State,City","AI platform for short- and long-term rental compliance that scans 15M+ listings daily to find unregistered properties, track permits, collect occupancy taxes, and support enforcement. Used by 400+ jurisdictions in the US, Canada, and Australia.",VC-backed; Early stage,$3.5M raised; $3M Series A (June 2023),deckard.com,"Procurement & Operations,Domains","Housing & Land Use,Tax & Revenue,Operational Excellence,Regulatory & Administrative Burden"
Aclima,GovTech,,"Federal,State,City",Public benefit corporation providing block-by-block air quality and greenhouse gas measurement to environmental agencies via vehicle-mounted sensors. Holds a $27M California Air Resources Board contract; partners include NY State DEC and EPA.,VC-backed; Growth stage,"$64M total; $40M Series B (2020); $13M additional round (Sept 2024); investors include Microsoft Climate Innovation Fund, Bosch Ventures, and Kapor Capital",aclima.io,"Technology & Data,Domains","Public Health,Data Integration,Physical Infrastructure"
Automotus,GovTech,,City,"Computer vision platform for automated curb management, monitoring loading zones, automating commercial vehicle payments, enforcing violations, and giving city planners real-time analytics. Deployed in dozens of US markets.",VC-backed; Growth stage,$26M total; $9M equity round (Dec 2025) led by Santa Barbara Venture Partners and Weatherford Capital; $9M seed (2022) led by CityRock Venture Partners,automotus.co,"Domains,Procurement & Operations","Physical Infrastructure,Operational Excellence"
DeepWalk,GovTech,,"State,City","iPhone LiDAR-based software for municipalities to assess sidewalk systems for ADA compliance. Staff scan with a mobile app; the platform generates 3D models, compliance reports, and construction documents needed for ADA transition plans. Serves cities, counties, and universities across the U.S. $1.8M raised.",VC-backed; Seed stage,$1.8M total; $1.4M Seed (2023) from CEAS Investments,deepwalkresearch.com,"Procurement & Operations,Domains","Physical Infrastructure,Operational Excellence,Regulatory & Administrative Burden"
Ontra Mobility,GovTech,,"State,City","AI transit planning and dispatch platform for cities and agencies, built by former Google engineers with PhDs in operations research. Forecasts demand, optimizes fixed-route networks, integrates on-demand zones, and dispatches in real time; powered MARTA Reach (Atlanta) and CAT SMART (Savannah). YC S24; selected for 2026 Transit Tech Lab proof of concept with MTA NYCT and LIRR.",VC-backed; Seed stage,Y Combinator (S24); $500K raised,ontramobility.com,"Technology & Data,Domains,Procurement & Operations,Test & Learn","Physical Infrastructure,Operational Excellence,Outcomes Measurement,Data Integration"
Waypoint Transit,GovTech,,"State,City","AI city planner that automates GIS analysis, data collection, and transportation planning reports for municipalities and transit agencies at about 30% of traditional consultant cost. Live in 10+ jurisdictions including Duluth and MnDOT; YC W25.",VC-backed; Seed stage,Y Combinator (W2025); $500K raised,waypointtransit.com,"Procurement & Operations,Domains","Physical Infrastructure,Operational Excellence,Reaction Time"
Waterly,GovTech,,"State,City","Data management and regulatory compliance software for water and wastewater utilities, replacing paper logs with real-time data entry, dosage calculation, compliance reporting, and SCADA integration. Designed by water operators; serves rural communities through large cities.",VC-backed; Growth stage,$4M raised; Series A (Aug 2025) led by Burnt Island Ventures; prior investors include Emerald Technology Ventures and CivStart,waterly.app,"Procurement & Operations,Technology & Data,Domains","Physical Infrastructure,Operational Excellence,Regulatory & Administrative Burden,Data Integration"
Mark43,GovTech,,"Federal,State,City","Cloud records management system and computer-aided dispatch for law enforcement. Replaces legacy on-premise infrastructure with a CJIS-compliant integrated platform for incident tracking, reporting, evidence management, and inter-agency data sharing. Deployed by DOI across 6 law enforcement programs covering 3,000 officers and 850+ locations nationwide.",VC-backed; Growth stage,Multiple rounds; $27M Series B led by General Catalyst and Spark Capital; investors include Goldman Sachs and Jeff Bezos; total undisclosed,mark43.com,"Technology & Data,Domains,Procurement & Operations","Criminal Justice,Legacy Systems,Operational Excellence,Data Integration"
CivicEye,GovTech,,"State,City","Unified cloud software for law enforcement, prosecutors, and courts covering records management, digital evidence, and case management. Adopted statewide by the Tennessee District Attorney General Conference; 150+ agencies nationwide.",VC-backed; Growth stage,$12.4M Series A (July 2022) led by Cercano Management; participation from Relevance Ventures,civiceye.com,"Technology & Data,Domains,Procurement & Operations","Criminal Justice,Legacy Systems,Operational Excellence,Data Integration"
Ordinal,GovTech,,City,"AI research assistant for local government staff that answers questions with citations from approved internal documents such as municipal codes, ordinances, GIS data, and meeting minutes, without training on external data. Live in cities in Arkansas, Oklahoma, Missouri, and California.",VC-backed; Seed stage,$1M Seed (Aug 2025) led by Plains Ventures; participation from Winrock International and The Venture Center Arkansas Fund,ordinalforgov.com,"Technology & Data,Procurement & Operations","Operational Excellence,Data Integration,Legacy Systems"
GovGuard,GovTech,,"State,City","AI agents for government FOIA and public records workflows. Automatically searches archived records, flags sensitive information for redaction, and drafts response letters for staff review; clerks retain full legal review authority over all disclosures. YC-backed; seed stage.",VC-backed; Seed stage,Y Combinator-backed; seed stage; total undisclosed,govguard.ai,"Participatory Democracy,Procurement & Operations","Transparency & Accountability,Operational Excellence"
RapidSOS,GovTech,,"Federal,State,City","Public safety platform connecting 600M+ devices and sensors to 22,000+ emergency agencies in real time. Gives 911 dispatchers location, medical, and contextual data through its HARMONY AI system and has supported over one billion emergencies.",VC-backed; Growth stage,"$450M+ raised across multiple rounds; $100M round (Nov 2025) led by Apax Digital at $1B valuation; prior investors include Highland Capital Partners, Insight Partners, BlackRock, and NightDragon",rapidsos.com,"Technology & Data,Domains","Crisis Response,Data Integration"
Swiftly,GovTech,,"State,City","Real-time transit data platform providing operational analytics, on-time performance monitoring, schedule optimization, and passenger information. Works with nearly half of the top 50 US transit agencies, including MBTA, LA Metro, SEPTA, and MDOT MTA.",VC-backed; Growth stage,"$200M+ raised across multiple rounds; 2025 strategic investment led by Cove Hill Partners with JMI Equity; prior investors include Renewal Funds, Ford Smart Mobility, and Samsung NEXT",goswiftly.com,"Technology & Data,Domains,Procurement & Operations,Test & Learn","Physical Infrastructure,Operational Excellence,Outcomes Measurement,Data Integration"
The Callimachus Project,Capacity Building,,Federal,"Nonprofit using AI to capture institutional knowledge from departing federal civil servants. Conducts long-form interviews with former employees, then summarizes, stores, and analyzes the knowledge to build a free, searchable AI chatbot database intended for Hill staff and transition teams working to rebuild civil service capacity.",Philanthropy,Private philanthropy via fiscal sponsor has funded founding and early proof of concept; seeking further philanthropic funding to build out AI interview-collection process and chatbot database/interface.,thecallimachusproject.org,"Talent & Hiring,Domains","Workforce Development,AI in Government"
Pennsylvania Governor's Science and Technology Fellowship,Fellowships,,State,"One-year fellowship (launched 2024) placing master's and doctoral STEM graduates in Pennsylvania state agencies on data, technology, and program modernization projects. Inaugural cohort of 11; fellows may be offered permanent state positions. Part of the Shapiro administration's HIRE executive order expanding public service talent pathways.",Government,PA Office of Administration; host agency budgets,pa.gov/agencies/oa,Talent & Hiring,"Talent Pipeline,Expert Contribution"
Renaissance Philanthropy,Philanthropy,,"Federal,State","Philanthropic advisor and fund incubator founded in 2024 by former White House science and technology adviser Tom Kalil, building multi-donor initiatives across science, technology, and U.S. state capacity. Funding partner of the Public Benefit Innovation Fund for AI in benefits delivery.",Philanthropy,Multi-donor funds from partner philanthropists,renaissancephilanthropy.org,"Service Delivery,Domains","Benefits Access,AI in Government"
Packard Foundation (David and Lucile Packard Foundation),Philanthropy,,"Federal,State,City",Private foundation whose state capacity grantmaking includes early backing of the Recoding America Fund. Funded the GovAI Coalition's 2026 transition to an independent nonprofit ($150K).,Philanthropy,Packard family endowment,packard.org,"Domains,Procurement & Operations","AI in Government,Procurement Reform"
